Series ID,Year,Period,Label,Value,3-Month Net Change
CUSR0000SA0L2,1947,M01,1947 Jan,23.2, N/A
CUSR0000SA0L2,1947,M02,1947 Feb,23.3,N/A
CUSR0000SA0L2,1947,M03,1947 Mar,23.8,N/A
CUSR0000SA0L2,1947,M04,1947 Apr,23.8,N/A
CUSR0000SA0L2,1947,M05,1947 May,23.7,N/A
CUSR0000SA0L2,1947,M06,1947 Jun,23.8,N/A
CUSR0000SA0L2,1947,M07,1947 Jul,24.0,N/A
CUSR0000SA0L2,1947,M08,1947 Aug,24.2,N/A
CUSR0000SA0L2,1947,M09,1947 Sep,24.6,N/A
CUSR0000SA0L2,1947,M10,1947 Oct,24.7,N/A
CUSR0000SA0L2,1947,M11,1947 Nov,24.9,N/A
CUSR0000SA0L2,1947,M12,1947 Dec,25.3,N/A
CUSR0000SA0L2,1948,M01,1948 Jan,25.7,N/A
CUSR0000SA0L2,1948,M02,1948 Feb,25.6,N/A
CUSR0000SA0L2,1948,M03,1948 Mar,25.4,N/A
CUSR0000SA0L2,1948,M04,1948 Apr,25.8,N/A
CUSR0000SA0L2,1948,M05,1948 May,26.0,N/A
CUSR0000SA0L2,1948,M06,1948 Jun,26.2,N/A
CUSR0000SA0L2,1948,M07,1948 Jul,26.4,N/A
CUSR0000SA0L2,1948,M08,1948 Aug,26.4,N/A
CUSR0000SA0L2,1948,M09,1948 Sep,26.4,N/A
CUSR0000SA0L2,1948,M10,1948 Oct,26.3,N/A
CUSR0000SA0L2,1948,M11,1948 Nov,26.1,N/A
CUSR0000SA0L2,1948,M12,1948 Dec,26.0,N/A
CUSR0000SA0L2,1949,M01,1949 Jan,25.8,N/A
CUSR0000SA0L2,1949,M02,1949 Feb,25.7,N/A
CUSR0000SA0L2,1949,M03,1949 Mar,25.7,N/A
CUSR0000SA0L2,1949,M04,1949 Apr,25.7,N/A
CUSR0000SA0L2,1949,M05,1949 May,25.6,N/A
CUSR0000SA0L2,1949,M06,1949 Jun,25.7,N/A
CUSR0000SA0L2,1949,M07,1949 Jul,25.4,N/A
CUSR0000SA0L2,1949,M08,1949 Aug,25.4,N/A
CUSR0000SA0L2,1949,M09,1949 Sep,25.5,N/A
CUSR0000SA0L2,1949,M10,1949 Oct,25.3,N/A
CUSR0000SA0L2,1949,M11,1949 Nov,25.4,N/A
CUSR0000SA0L2,1949,M12,1949 Dec,25.2,N/A
CUSR0000SA0L2,1950,M01,1950 Jan,25.1,N/A
CUSR0000SA0L2,1950,M02,1950 Feb,25.2,N/A
CUSR0000SA0L2,1950,M03,1950 Mar,25.2,N/A
CUSR0000SA0L2,1950,M04,1950 Apr,25.2,N/A
CUSR0000SA0L2,1950,M05,1950 May,25.4,N/A
CUSR0000SA0L2,1950,M06,1950 Jun,25.4,N/A
CUSR0000SA0L2,1950,M07,1950 Jul,25.7,N/A
CUSR0000SA0L2,1950,M08,1950 Aug,25.8,N/A
CUSR0000SA0L2,1950,M09,1950 Sep,26.0,N/A
CUSR0000SA0L2,1950,M10,1950 Oct,26.2,N/A
CUSR0000SA0L2,1950,M11,1950 Nov,26.4,N/A
CUSR0000SA0L2,1950,M12,1950 Dec,26.8,N/A
CUSR0000SA0L2,1951,M01,1951 Jan,27.2,N/A
CUSR0000SA0L2,1951,M02,1951 Feb,27.8,N/A
CUSR0000SA0L2,1951,M03,1951 Mar,27.9,N/A
CUSR0000SA0L2,1951,M04,1951 Apr,27.9,N/A
CUSR0000SA0L2,1951,M05,1951 May,27.9,N/A
CUSR0000SA0L2,1951,M06,1951 Jun,27.9,N/A
CUSR0000SA0L2,1951,M07,1951 Jul,27.8,N/A
CUSR0000SA0L2,1951,M08,1951 Aug,27.7,N/A
CUSR0000SA0L2,1951,M09,1951 Sep,27.9,N/A
CUSR0000SA0L2,1951,M10,1951 Oct,28.1,N/A
CUSR0000SA0L2,1951,M11,1951 Nov,28.3,N/A
CUSR0000SA0L2,1951,M12,1951 Dec,28.4,N/A
CUSR0000SA0L2,1952,M01,1952 Jan,28.4,N/A
CUSR0000SA0L2,1952,M02,1952 Feb,28.3,N/A
CUSR0000SA0L2,1952,M03,1952 Mar,28.3,N/A
CUSR0000SA0L2,1952,M04,1952 Apr,28.3,N/A
CUSR0000SA0L2,1952,M05,1952 May,28.4,N/A
CUSR0000SA0L2,1952,M06,1952 Jun,28.4,N/A
CUSR0000SA0L2,1952,M07,1952 Jul,28.6,N/A
CUSR0000SA0L2,1952,M08,1952 Aug,28.6,N/A
CUSR0000SA0L2,1952,M09,1952 Sep,28.6,N/A
CUSR0000SA0L2,1952,M10,1952 Oct,28.5,N/A
CUSR0000SA0L2,1952,M11,1952 Nov,28.6,N/A
CUSR0000SA0L2,1952,M12,1952 Dec,28.5,N/A
CUSR0000SA0L2,1953,M01,1953 Jan,28.5,N/A
CUSR0000SA0L2,1953,M02,1953 Feb,28.4,N/A
CUSR0000SA0L2,1953,M03,1953 Mar,28.5,N/A
CUSR0000SA0L2,1953,M04,1953 Apr,28.5,N/A
CUSR0000SA0L2,1953,M05,1953 May,28.5,N/A
CUSR0000SA0L2,1953,M06,1953 Jun,28.6,N/A
CUSR0000SA0L2,1953,M07,1953 Jul,28.6,N/A
CUSR0000SA0L2,1953,M08,1953 Aug,28.6,N/A
CUSR0000SA0L2,1953,M09,1953 Sep,28.6,N/A
CUSR0000SA0L2,1953,M10,1953 Oct,28.7,N/A
CUSR0000SA0L2,1953,M11,1953 Nov,28.6,N/A
CUSR0000SA0L2,1953,M12,1953 Dec,28.6,N/A
CUSR0000SA0L2,1954,M01,1954 Jan,28.7,N/A
CUSR0000SA0L2,1954,M02,1954 Feb,28.7,N/A
CUSR0000SA0L2,1954,M03,1954 Mar,28.6,N/A
CUSR0000SA0L2,1954,M04,1954 Apr,28.6,N/A
CUSR0000SA0L2,1954,M05,1954 May,28.6,N/A
CUSR0000SA0L2,1954,M06,1954 Jun,28.6,N/A
CUSR0000SA0L2,1954,M07,1954 Jul,28.6,N/A
CUSR0000SA0L2,1954,M08,1954 Aug,28.5,N/A
CUSR0000SA0L2,1954,M09,1954 Sep,28.4,N/A
CUSR0000SA0L2,1954,M10,1954 Oct,28.3,N/A
CUSR0000SA0L2,1954,M11,1954 Nov,28.3,N/A
CUSR0000SA0L2,1954,M12,1954 Dec,28.3,N/A
CUSR0000SA0L2,1955,M01,1955 Jan,28.3,N/A
CUSR0000SA0L2,1955,M02,1955 Feb,28.4,N/A
